F	10:25:00	11:15:00	STRNG LOWER	14204
M	14:00:00	16:40:00	MEL 111	14210
W	14:00:00	16:40:00	MEL 111	14228
R	09:40:00	12:20:00	MEL 111	14232
T	09:40:00	12:20:00	MEL 111	14249
T	09:15:00	10:55:00	MEL 474	14255
R	09:15:00	10:55:00	MEL 474	14255
T	11:05:00	12:20:00	MEL 203	14293
R	11:05:00	12:20:00	MEL 203	14293
M	10:25:00	11:15:00	DEWEY 2110D	14307
W	10:25:00	11:15:00	DEWEY 2110D	14307
F	10:25:00	11:15:00	DEWEY 2110D	14307
T	11:05:00	12:20:00	HYLAN 102	14657
R	11:05:00	12:20:00	HYLAN 102	14657
M	11:50:00	12:40:00	HUTCH 138	14666
W	11:50:00	12:40:00	HUTCH 138	14666
F	11:50:00	12:40:00	HUTCH 138	14666
M	13:00:00	16:30:00	HUTCH 219	14679
M	09:00:00	09:50:00	HOYT AUD	14698
W	09:00:00	09:50:00	HOYT AUD	14698
F	09:00:00	09:50:00	HOYT AUD	14698
M	09:00:00	09:50:00	B&L 109	15136
W	09:00:00	09:50:00	B&L 109	15136
F	09:00:00	09:50:00	B&L 109	15136
M	09:00:00	09:50:00	 	15147
W	09:00:00	09:50:00	 	15147
F	09:00:00	09:50:00	 	15147
M	09:00:00	09:50:00	HUTCH 141	15211
W	09:00:00	09:50:00	HUTCH 141	15211
F	09:00:00	09:50:00	HUTCH 141	15211
W	16:50:00	20:20:00	HUTCH 220	15429
R	12:30:00	16:00:00	HUTCH 219	15430
R	12:30:00	16:00:00	HUTCH 220	15448
T	12:30:00	16:00:00	HUTCH 220	15456
W	13:00:00	16:30:00	HUTCH 217	15467
W	16:50:00	20:20:00	HUTCH 217	15475
T	16:50:00	20:20:00	HUTCH 219	15481
W	16:50:00	20:20:00	HUTCH 219	15494
T	16:50:00	20:20:00	HUTCH 217	15506
R	12:30:00	16:00:00	HUTCH 217	15519
W	13:00:00	16:30:00	HUTCH 220	15522
T	12:30:00	16:00:00	HUTCH 217	15535
R	16:50:00	20:20:00	HUTCH 219	15541
R	16:50:00	20:20:00	HUTCH 220	15553
R	16:50:00	20:20:00	HUTCH 217	15564
T	16:50:00	20:20:00	HUTCH 220	15570
W	13:00:00	16:30:00	HUTCH 219	15588
T	12:30:00	16:00:00	HUTCH 219	15597
M	11:50:00	13:05:00	DEWEY 1101	15601
W	11:50:00	13:05:00	DEWEY 1101	15601
T	09:40:00	10:55:00	HUTCH 140	15669
R	09:40:00	10:55:00	HUTCH 140	15669
M	11:50:00	13:05:00	DEWEY 1101	15755
W	11:50:00	13:05:00	DEWEY 1101	15755
T	14:00:00	15:15:00	GRGEN 101	15807
R	14:00:00	15:15:00	GRGEN 101	15807
M	14:00:00	15:15:00	GRGEN 109	15839
W	14:00:00	15:15:00	GRGEN 109	15839
T	11:05:00	12:20:00	HUTCH 140	15850
R	11:05:00	12:20:00	HUTCH 140	15850
T	14:00:00	18:05:00	HUTCH 222	15914
R	14:00:00	18:05:00	HUTCH 222	15914
T	15:25:00	16:40:00	B&L 106	15946
R	15:25:00	16:40:00	B&L 106	15946
T	09:40:00	10:55:00	MEL 221	15971
R	09:40:00	10:55:00	MEL 221	15971
R	11:05:00	12:20:00	HYLAN 203	15992
T	11:05:00	12:20:00	HYLAN 203	16005
T	09:40:00	10:55:00	HUTCH 140	16283
R	09:40:00	10:55:00	HUTCH 140	16283
M	14:00:00	15:15:00	GRGEN 109	16295
W	14:00:00	15:15:00	GRGEN 109	16295
T	11:05:00	12:20:00	HUTCH 140	16303
R	11:05:00	12:20:00	HUTCH 140	16303
T	15:25:00	16:40:00	B&L 106	16312
R	15:25:00	16:40:00	B&L 106	16312
T	09:40:00	10:55:00	MEL 221	16329
R	09:40:00	10:55:00	MEL 221	16329
T	09:40:00	10:55:00	HUTCH 316	16330
F	09:40:00	10:55:00	HUTCH 316	16330
M	10:00:00	11:30:00	HUTCH 316	16394
T	12:30:00	13:45:00	HUTCH 316	16408
W	16:30:00	19:00:00	HUTCH 316	16413
F	15:00:00	16:15:00	HUTCH 316	16424
M	11:50:00	12:40:00	GRGEN 101	16910
W	11:50:00	12:40:00	GRGEN 101	16910
F	11:50:00	12:40:00	GRGEN 101	16910
M	10:25:00	11:15:00	GRGEN 101	16993
W	10:25:00	11:15:00	GRGEN 101	16993
F	10:25:00	11:15:00	GRGEN 101	16993
R	15:25:00	16:40:00	LATT 201	17014
T	16:50:00	18:05:00	MOREY 501	17060
R	16:50:00	18:05:00	MOREY 501	17060
T	12:30:00	13:45:00	MOREY 205	17085
R	12:30:00	13:45:00	MOREY 205	17085
W	15:25:00	16:40:00	MEL 221	17092
F	15:25:00	16:40:00	MEL 221	17092
T	12:30:00	13:45:00	HARK 210	17141
R	12:30:00	13:45:00	HARK 210	17141
T	16:50:00	18:05:00	GAVET 312	17153
R	16:50:00	18:05:00	GAVET 312	17153
T	15:25:00	16:40:00	GRGEN 101	17164
R	15:25:00	16:40:00	GRGEN 101	17164
T	11:05:00	12:20:00	GRGEN 109	17217
R	11:05:00	12:20:00	GRGEN 109	17217
W	14:00:00	15:15:00	GRGEN 101	17243
M	10:00:00	10:50:00	MED 57432	17455
W	10:00:00	10:50:00	MED 57432	17455
F	10:00:00	10:50:00	MED 57432	17455
T	16:50:00	18:05:00	MOREY 501	17461
R	16:50:00	18:05:00	MOREY 501	17461
T	09:40:00	10:55:00	GRGEN 110	17476
